,TrainLoss,ValLoss
0,[4.641791e+09],[8.703559e+09]
1,[1.2636006e+10],[2.5292726e+10]
2,[2.4630166e+10],[4.333145e+10]
3,[3.529286e+10],[4.6202397e+10]
4,[3.7635236e+10],[4.1833447e+10]
5,[4.6979715e+10],[6.291334e+10]
6,[5.5103455e+10],[6.8385505e+10]
7,[5.696947e+10],[5.8807124e+10]
8,[6.0410565e+10],[7.674228e+10]
9,[6.6271506e+10],[1.0977227e+11]
10,[7.910229e+10],[1.1287636e+11]
11,[7.962737e+10],[8.496102e+10]
12,[8.779956e+10],[1.2768149e+11]
13,[1.05832464e+11],[1.2095113e+11]
14,[1.1395816e+11],[1.6598683e+11]
15,[1.2291682e+11],[1.760468e+11]
16,[1.427078e+11],[1.7275914e+11]
17,[1.5259124e+11],[1.8779216e+11]
18,[1.6469148e+11],[1.48924e+11]
19,[1.6519946e+11],[1.9058911e+11]
